2020-01-27 20:19:03,239 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (915)
2020-01-27 20:19:03,240 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (915)
2020-01-27 20:19:03,254 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (923)
2020-01-27 20:19:03,267 [INFO :onlinePreprocess] WARNING: ignoring an empty line (929)
2020-01-27 20:19:03,303 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (945)
2020-01-27 20:19:03,312 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (947)
2020-01-27 20:19:03,316 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (948)
2020-01-27 20:19:03,372 [INFO :onlinePreprocess] WARNING: ignoring an empty line (964)
2020-01-27 20:19:03,445 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (977)
2020-01-27 20:19:03,446 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (977)
2020-01-27 20:19:03,447 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (978)
2020-01-27 20:19:03,464 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (984)
2020-01-27 20:19:03,474 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (986)
2020-01-27 20:19:03,477 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (987)
2020-01-27 20:19:03,480 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (988)
2020-01-27 20:19:03,482 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (988)
2020-01-27 20:19:03,484 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (989)
2020-01-27 20:19:03,492 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (992)
2020-01-27 20:19:03,494 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (993)
2020-01-27 20:19:03,501 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (998)
2020-01-27 20:19:03,502 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (998)
2020-01-27 20:19:03,504 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (999)
2020-01-27 20:19:03,517 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1004)
2020-01-27 20:19:03,525 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1007)
2020-01-27 20:19:03,527 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1008)
2020-01-27 20:19:03,534 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1011)
2020-01-27 20:19:03,543 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1014)
2020-01-27 20:19:03,544 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1014)
2020-01-27 20:19:03,548 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1015)
2020-01-27 20:19:03,561 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1019)
2020-01-27 20:19:03,602 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1035)
2020-01-27 20:19:03,609 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1039)
2020-01-27 20:19:03,616 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1042)
2020-01-27 20:19:03,622 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1045)
2020-01-27 20:19:03,626 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1046)
2020-01-27 20:19:03,639 [INFO :onlinePreprocess] WARNING: oracle exceeds max_doc_len, ignoring (1050)
